country_code, maaeone, lapefodp, mapeone, maaetwo, lapeftdp, mapetwo
PY,59.16305916305916,75.0,53.1024531024531,60.42568542568542,50.0,45.274170274170274
PE,246.45055461454388,11.79245283018868,-222.37472874610944,220.53058923912712,4.716981132075472,-193.38218902017735
PH,115.26584269969683,100.0,-86.29384101060961,134.75909868535535,63.63636363636363,-104.24096426050957
PL,72.44321371010696,7.142857142857142,-43.34769263125809,79.02052208343478,0.0,-51.50121577775262
PT,48.23658092144111,50.0,-18.137634414126875,56.3723455831246,50.0,-30.52110699370157
QA,56.50905432595574,50.0,36.7907444668008,57.01542588866533,50.0,28.846411804158283
RO,29.81747752901731,13.20754716981132,-9.278977470262985,29.572114920509282,7.547169811320755,-10.381179424607161
RU,21.157928904957586,9.836065573770492,-0.6137302588714071,22.172435503941752,8.19672131147541,-0.578303509929869
RW,100.0,100.0,100.0,100.0,100.0,100.0
SM,100.0,100.0,100.0,100.0,100.0,100.0
ST,100.0,100.0,100.0,100.0,100.0,100.0
SA,18.851634164196348,0.0,1.9980056006821942,20.808659885818837,0.0,3.1570180403344694
SN,51.3125,50.0,18.395833333333336,52.9375,100.0,11.270833333333332
RS,64.11653991837689,100.0,4.427076887077126,83.39987890138904,133.33333333333331,-22.172437104600434
SL,100.0,100.0,100.0,100.0,100.0,100.0
SG,93.33333333333333,100.0,93.33333333333333,93.33333333333333,100.0,93.33333333333333
SK,63.333333333333336,100.0,63.33333333333333,70.0,100.0,50.0
SI,71.1904761904762,100.0,63.57142857142857,57.38095238095239,0.0,48.80952380952381
SO,74.62962962962963,100.0,38.51851851851851,78.37962962962963,100.0,56.1574074074074
ZA,42.8237681228323,8.461538461538462,-15.86763909546536,44.46305585869761,5.769230769230769,-17.394850432375275
KR,76.79738562091504,100.0,76.79738562091502,56.86274509803921,100.0,52.94117647058824
ES,1145.0427478157349,57.692307692307686,-1112.5427037977809,1408.3323753076227,38.46153846153847,-1380.10284060832
LK,100.0,100.0,100.0,100.0,100.0,100.0
SD,61.74322171640645,66.66666666666666,-0.9036552161847664,65.26722450642673,33.33333333333333,-4.305950856222327
SR,95.65217391304348,0.0,95.65217391304348,76.08695652173913,100.0,67.3913043478261
SZ,87.8395061728395,50.0,73.0246913580247,65.80246913580247,0.0,43.580246913580254
SE,207.61921203288168,50.0,-168.22098471296997,228.79714903103778,100.0,-189.46914968235865
CH,87.17121529640373,0.0,-16.247965151700306,95.57249748677064,0.0,-37.53091247689703
SY,100.0,100.0,100.0,100.0,100.0,100.0
TW,100.0,100.0,100.0,100.0,100.0,100.0
TZ,100.0,100.0,100.0,100.0,100.0,100.0
TH,100.0,100.0,100.0,100.0,100.0,100.0
TG,100.0,100.0,100.0,89.28571428571429,0.0,89.28571428571429
TN,100.0,100.0,100.0,93.33333333333333,100.0,93.33333333333333
TR,13.592537788544684,6.666666666666667,1.1181059567883793,15.38842669546474,13.333333333333334,-2.476187787979257
UG,100.0,100.0,100.0,120.0,100.0,120.0
UA,30.84233788304734,6.896551724137931,-8.426432346599695,32.46409426773052,10.344827586206897,-10.179901170922895
AE,52.370747230297795,100.0,10.610447604829627,46.7522552354013,0.0,-10.707170482451382
GB,104.50374002408925,4.054054054054054,-77.99781238695238,118.1730921751877,14.864864864864865,-92.19734551961342
US,46.14044330579856,3.5381750465549344,-24.49191844171095,52.93359382076714,4.748603351955307,-31.153129499273863
UY,100.0,100.0,100.0,91.30434782608695,100.0,91.30434782608695
UZ,54.5507637017071,25.0,43.54447439353099,57.58310871518418,25.0,33.43216531895778
VE,46.129943502824865,33.33333333333333,34.26553672316385,44.18079096045198,0.0,17.90960451977401
VN,50.0,0.0,50.0,100.0,200.0,-33.33333333333333
YE,100.0,100.0,100.0,100.0,100.0,100.0
ZM,230.33910533910534,16.666666666666664,-128.75180375180378,282.4404761904762,0.0,-177.97619047619048
ZW,76.2987012987013,150.0,35.3896103896104,73.97186147186147,100.0,19.426406926406923
US,46.14044330579856,3.5381750465549344,-24.49191844171095,52.93359382076714,4.748603351955307,-31.153129499273863
US,46.14044330579856,3.5381750465549344,-24.49191844171095,52.93359382076714,4.748603351955307,-31.153129499273863
US,46.14044330579856,3.5381750465549344,-24.49191844171095,52.93359382076714,4.748603351955307,-31.153129499273863
US,46.14044330579856,3.5381750465549344,-24.49191844171095,52.93359382076714,4.748603351955307,-31.153129499273863
US,46.14044330579856,3.5381750465549344,-24.49191844171095,52.93359382076714,4.748603351955307,-31.153129499273863
AF,136.4146998253315,22.22222222222222,-95.67011598422,130.4469962628867,22.22222222222222,-91.95638297595316
AL,57.39766081871345,20.0,16.461988304093566,51.72514619883041,0.0,-5.584795321637427
DZ,26.33065711047362,37.5,-8.639622355218686,26.66120958552151,37.5,-10.045040331737578
AD,92.85714285714286,100.0,92.85714285714286,85.71428571428571,100.0,85.71428571428571
AO,61.51960784313725,50.0,46.813725490196084,57.59803921568628,50.0,31.12745098039215
AR,48.64792352363855,31.543624161073826,-23.00337150934645,54.100665291906374,42.281879194630875,-28.199699987753966
AM,38.62675459275251,33.33333333333333,-1.1069330617272257,40.44509439376557,66.66666666666666,-1.5816797122164512
AW,100.0,100.0,100.0,50.0,50.0,50.0
